instance_id,1_outcome,1_patterns,1_step,1_cost,2_outcome,2_patterns,2_step,2_cost,3_outcome,3_patterns,3_step,3_cost
django__django-11099,resolved,"oscillation_self_loop,plan_compliance",11,0.006972,resolved,"oscillation_self_loop,plan_compliance",11,0.006972,resolved,,13,0.005919
django__django-11119,resolved,"oscillation_self_loop,plan_compliance",9,0.009253,resolved,"oscillation_self_loop,plan_compliance",9,0.009253,resolved,"oscillation_self_loop,plan_compliance",8,0.005841
django__django-11133,resolved,"oscillation_self_loop,repeated_view",24,0.036334,resolved,"oscillation_self_loop,repeated_view",24,0.036334,resolved,,17,0.020704
django__django-11138,unresolved,"oscillation_self_loop,plan_compliance",5,0.004688,unresolved,"oscillation_self_loop,plan_compliance",5,0.004688,unresolved,plan_compliance,15,0.046004
django__django-11141,unresolved,"oscillation_self_loop,plan_compliance",7,0.007035,unresolved,"oscillation_self_loop,plan_compliance",7,0.007035,unresolved,"oscillation_self_loop,plan_compliance",8,0.008383
django__django-11149,unresolved,"oscillation_self_loop,plan_compliance,repeated_view",9,0.003648,unresolved,"oscillation_self_loop,plan_compliance,repeated_view",9,0.003648,unresolved,"dwell_L_navigate,oscillation_self_loop,plan_compliance",13,0.016181
django__django-11163,resolved,"oscillation_self_loop,plan_compliance",7,0.005402,resolved,"oscillation_self_loop,plan_compliance",7,0.005402,resolved,"dwell_L_navigate,oscillation_self_loop,plan_compliance",13,0.019438
django__django-11179,resolved,"oscillation_self_loop,plan_compliance",6,0.004072,resolved,"oscillation_self_loop,plan_compliance",6,0.004072,resolved,dwell_L_reproduce,19,0.019070
django__django-11206,resolved,,18,0.016029,unresolved,,18,0.016029,unresolved,"dwell_V,oscillation_self_loop",20,0.025279
django__django-11211,unresolved,"oscillation_self_loop,plan_compliance",7,0.004891,unresolved,"oscillation_self_loop,plan_compliance",7,0.004891,resolved,"dwell_V,oscillation_self_loop",46,0.114378
django__django-11239,unresolved,"oscillation_self_loop,plan_compliance",8,0.006261,resolved,"oscillation_self_loop,plan_compliance",8,0.006261,unresolved,"oscillation_self_loop,plan_compliance",6,0.002943
django__django-11265,unresolved,"oscillation_self_loop,plan_compliance",7,0.007690,unresolved,"oscillation_self_loop,plan_compliance",7,0.007690,unresolved,"dwell_V,oscillation_self_loop",57,0.127852
django__django-11276,unresolved,,17,0.020137,resolved,,17,0.020137,unresolved,"oscillation_self_loop,plan_compliance",7,0.006597
django__django-11292,unresolved,"oscillation_self_loop,plan_compliance",11,0.011132,resolved,"oscillation_self_loop,plan_compliance",11,0.011132,unresolved,"oscillation_self_loop,plan_compliance",11,0.012163
django__django-11299,unresolved,"dwell_L_reproduce,oscillation_self_loop,plan_compliance",23,0.032737,unresolved,"dwell_L_reproduce,oscillation_self_loop,plan_compliance",23,0.032737,unresolved,"oscillation_self_loop,plan_compliance,repeated_view",20,0.035636
django__django-11333,unresolved,,28,0.032875,unresolved,,28,0.032875,unresolved,"oscillation_self_loop,plan_compliance",8,0.007522
django__django-11400,unresolved,"oscillation_self_loop,plan_compliance",12,0.007916,unresolved,"oscillation_self_loop,plan_compliance",12,0.007916,unresolved,"oscillation_self_loop,plan_compliance",9,0.006103
django__django-11433,unresolved,dwell_L_reproduce,19,0.020231,unresolved,dwell_L_reproduce,19,0.020231,unresolved,"oscillation_self_loop,plan_compliance",10,0.009169
django__django-11451,unresolved,"oscillation_self_loop,plan_compliance",7,0.006573,unresolved,"oscillation_self_loop,plan_compliance",7,0.006573,unresolved,"oscillation_self_loop,plan_compliance",6,0.003964
django__django-11477,unresolved,"oscillation_self_loop,plan_compliance,repeated_view",12,0.013152,unresolved,"oscillation_self_loop,plan_compliance,repeated_view",12,0.013152,unresolved,"oscillation_self_loop,plan_compliance",6,0.003160
django__django-11490,unresolved,dwell_V,22,0.022159,unresolved,dwell_V,22,0.022159,unresolved,,24,0.028651
django__django-11532,unresolved,"oscillation_self_loop,plan_compliance",7,0.003104,unresolved,"oscillation_self_loop,plan_compliance",7,0.003104,unresolved,,18,0.017675
django__django-11551,unresolved,,0,0.000000,resolved,,0,0.000000,resolved,"oscillation_self_loop,plan_compliance",7,0.007824
django__django-11555,unresolved,"dwell_L_navigate,oscillation_self_loop,plan_compliance,repeated_view",12,0.021107,unresolved,"dwell_L_navigate,oscillation_self_loop,plan_compliance,repeated_view",12,0.021107,unresolved,"dwell_L_navigate,oscillation_self_loop,plan_compliance",13,0.016502
django__django-11603,resolved,"oscillation_self_loop,plan_compliance",8,0.006829,resolved,"oscillation_self_loop,plan_compliance",8,0.006829,resolved,"oscillation_self_loop,plan_compliance",12,0.011105
django__django-11728,unresolved,dwell_L_navigate,17,0.026573,unresolved,dwell_L_navigate,17,0.026573,unresolved,,28,0.039218
django__django-11734,unresolved,dwell_L_reproduce,30,0.063614,unresolved,dwell_L_reproduce,30,0.063614,unresolved,"oscillation_self_loop,plan_compliance",10,0.016426
django__django-11740,unresolved,"oscillation_self_loop,plan_compliance,repeated_view",9,0.006263,unresolved,"oscillation_self_loop,plan_compliance,repeated_view",9,0.006263,unresolved,"dwell_L_navigate,dwell_V,oscillation_self_loop,repeated_view",59,0.304784
django__django-11749,unresolved,"oscillation_self_loop,plan_compliance",7,0.004216,resolved,"oscillation_self_loop,plan_compliance",7,0.004216,resolved,dwell_L_navigate,17,0.023129
django__django-11790,unresolved,"oscillation_self_loop,plan_compliance",6,0.004473,unresolved,"oscillation_self_loop,plan_compliance",6,0.004473,unresolved,"oscillation_self_loop,plan_compliance",7,0.005520
django__django-11815,resolved,"oscillation_self_loop,plan_compliance",10,0.015047,resolved,"oscillation_self_loop,plan_compliance",10,0.015047,resolved,plan_compliance,25,0.037394
django__django-11820,unresolved,"oscillation_self_loop,plan_compliance",9,0.012174,unresolved,"oscillation_self_loop,plan_compliance",9,0.012174,unresolved,"dwell_L_navigate,oscillation_self_loop",22,0.076228
django__django-11848,unresolved,,25,0.024476,resolved,,25,0.024476,resolved,oscillation_self_loop,27,0.037239
django__django-11880,resolved,"oscillation_self_loop,plan_compliance",5,0.004555,resolved,"oscillation_self_loop,plan_compliance",5,0.004555,resolved,,10,0.009197
django__django-11885,unresolved,"oscillation_self_loop,plan_compliance",6,0.006563,unresolved,"oscillation_self_loop,plan_compliance",6,0.006563,unresolved,"dwell_V,oscillation_self_loop,repeated_view",77,0.251227
django__django-11951,unresolved,"oscillation_self_loop,plan_compliance",9,0.009750,resolved,"oscillation_self_loop,plan_compliance",9,0.009750,unresolved,"oscillation_self_loop,plan_compliance",8,0.010212
django__django-11964,resolved,"oscillation_self_loop,plan_compliance",8,0.005989,unresolved,"oscillation_self_loop,plan_compliance",8,0.005989,resolved,"oscillation_self_loop,plan_compliance",8,0.007212
django__django-11999,unresolved,"oscillation_self_loop,plan_compliance",8,0.007081,unresolved,"oscillation_self_loop,plan_compliance",8,0.007081,resolved,dwell_V,28,0.041892
django__django-12039,unresolved,"oscillation_self_loop,plan_compliance",5,0.003153,unresolved,"oscillation_self_loop,plan_compliance",5,0.003153,unresolved,"oscillation_self_loop,plan_compliance",5,0.003345
django__django-12050,resolved,dwell_V,16,0.023232,resolved,dwell_V,16,0.023232,resolved,,13,0.018322
django__django-12125,unresolved,oscillation_self_loop,59,0.138165,unresolved,oscillation_self_loop,59,0.138165,unresolved,plan_compliance,49,0.079134
django__django-12143,unresolved,,7,0.005978,unresolved,,7,0.005978,resolved,"oscillation_self_loop,plan_compliance",10,0.009155
django__django-12155,resolved,dwell_L_navigate,22,0.042274,resolved,dwell_L_navigate,22,0.042274,resolved,"dwell_L_navigate,oscillation_self_loop,plan_compliance,repeated_view",18,0.041077
django__django-12193,resolved,dwell_V,27,0.057410,resolved,dwell_V,27,0.057410,resolved,"dwell_V,oscillation_self_loop",27,0.042839
django__django-12209,resolved,"dwell_L_reproduce,oscillation_self_loop",17,0.024318,unresolved,"dwell_L_reproduce,oscillation_self_loop",17,0.024318,unresolved,"dwell_L_reproduce,repeated_view",43,0.079062
django__django-12262,resolved,"oscillation_self_loop,plan_compliance",10,0.009514,unresolved,"oscillation_self_loop,plan_compliance",10,0.009514,resolved,,26,0.044008
django__django-12273,unresolved,"oscillation_self_loop,plan_compliance,repeated_view",23,0.101539,unresolved,"oscillation_self_loop,plan_compliance,repeated_view",23,0.101539,unresolved,"oscillation_self_loop,plan_compliance",11,0.014077
django__django-12276,unresolved,"oscillation_self_loop,plan_compliance",6,0.002119,resolved,"oscillation_self_loop,plan_compliance",6,0.002119,resolved,"oscillation_self_loop,plan_compliance",9,0.009561
django__django-12304,unresolved,"oscillation_self_loop,plan_compliance",8,0.006263,unresolved,"oscillation_self_loop,plan_compliance",8,0.006263,unresolved,,21,0.023673
django__django-12308,unresolved,"oscillation_self_loop,plan_compliance",9,0.005534,unresolved,"oscillation_self_loop,plan_compliance",9,0.005534,unresolved,"oscillation_self_loop,plan_compliance",6,0.003252
django__django-12325,unresolved,"dwell_V,oscillation_self_loop,repeated_view",63,0.189265,unresolved,"dwell_V,oscillation_self_loop,repeated_view",63,0.189265,unresolved,"plan_compliance,repeated_view",26,0.016196
django__django-12406,unresolved,dwell_L_reproduce,35,0.054086,unresolved,dwell_L_reproduce,35,0.054086,unresolved,oscillation_self_loop,27,0.063608
django__django-12419,resolved,"oscillation_self_loop,plan_compliance",11,0.014638,resolved,"oscillation_self_loop,plan_compliance",11,0.014638,resolved,"oscillation_self_loop,plan_compliance",17,0.030733
django__django-12663,unresolved,"dwell_V,plan_compliance",27,0.049500,unresolved,"dwell_V,plan_compliance",27,0.049500,unresolved,"oscillation_self_loop,plan_compliance",8,0.011310
django__django-12708,unresolved,"oscillation_self_loop,plan_compliance",8,0.007822,resolved,"oscillation_self_loop,plan_compliance",8,0.007822,resolved,"oscillation_self_loop,plan_compliance",12,0.013896
django__django-12713,resolved,"oscillation_self_loop,plan_compliance",9,0.011437,resolved,"oscillation_self_loop,plan_compliance",9,0.011437,resolved,"oscillation_self_loop,plan_compliance",8,0.010332
django__django-12741,unresolved,"oscillation_self_loop,plan_compliance",9,0.009363,unresolved,"oscillation_self_loop,plan_compliance",9,0.009363,unresolved,"oscillation_self_loop,plan_compliance",8,0.005957
django__django-12754,unresolved,,42,0.083777,unresolved,,42,0.083777,unresolved,"dwell_L_reproduce,plan_compliance",20,0.019827
django__django-12774,unresolved,oscillation_self_loop,48,0.081659,unresolved,oscillation_self_loop,48,0.081659,unresolved,dwell_V,27,0.038327
django__django-12858,unresolved,"oscillation_self_loop,plan_compliance",11,0.008485,resolved,"oscillation_self_loop,plan_compliance",11,0.008485,unresolved,"dwell_L_navigate,oscillation_self_loop,plan_compliance,repeated_view",29,0.055474
django__django-12965,unresolved,plan_compliance,14,0.020158,unresolved,plan_compliance,14,0.020158,unresolved,"oscillation_self_loop,plan_compliance",10,0.015641
django__django-13012,resolved,"oscillation_self_loop,plan_compliance",9,0.012099,unresolved,"oscillation_self_loop,plan_compliance",9,0.012099,unresolved,"dwell_V,oscillation_self_loop,repeated_view",57,0.125740
django__django-13023,unresolved,"oscillation_self_loop,plan_compliance",7,0.006098,unresolved,"oscillation_self_loop,plan_compliance",7,0.006098,unresolved,"oscillation_self_loop,plan_compliance",9,0.009766
django__django-13028,resolved,"dwell_L_navigate,oscillation_self_loop,plan_compliance",11,0.014252,unresolved,"dwell_L_navigate,oscillation_self_loop,plan_compliance",11,0.014252,unresolved,"oscillation_self_loop,plan_compliance",9,0.010432
django__django-13033,unresolved,"dwell_L_navigate,plan_compliance",21,0.040347,unresolved,"dwell_L_navigate,plan_compliance",21,0.040347,unresolved,oscillation_self_loop,43,0.141301
django__django-13089,resolved,"oscillation_self_loop,plan_compliance",5,0.003945,resolved,"oscillation_self_loop,plan_compliance",5,0.003945,resolved,"oscillation_self_loop,plan_compliance",5,0.003684
django__django-13109,resolved,"oscillation_self_loop,plan_compliance",8,0.007415,resolved,"oscillation_self_loop,plan_compliance",8,0.007415,resolved,"oscillation_self_loop,plan_compliance",7,0.006441
django__django-13112,unresolved,"dwell_L_navigate,repeated_view",17,0.055763,unresolved,"dwell_L_navigate,repeated_view",17,0.055763,unresolved,"dwell_L_navigate,oscillation_self_loop,plan_compliance,repeated_view",20,0.046002
django__django-13121,unresolved,"dwell_V,oscillation_self_loop",16,0.016443,unresolved,"dwell_V,oscillation_self_loop",16,0.016443,unresolved,,11,0.010323
django__django-13128,unresolved,"dwell_V,plan_compliance",19,0.036316,unresolved,"dwell_V,plan_compliance",19,0.036316,unresolved,"dwell_L_navigate,oscillation_self_loop,plan_compliance",14,0.026317
django__django-13158,unresolved,dwell_L_reproduce,45,0.115865,unresolved,dwell_L_reproduce,45,0.115865,unresolved,"dwell_L_reproduce,dwell_V,oscillation_self_loop",47,0.107383
django__django-13195,unresolved,,13,0.016963,unresolved,,13,0.016963,unresolved,"oscillation_self_loop,plan_compliance",7,0.006081
django__django-13212,unresolved,,6,0.005952,unresolved,,6,0.005952,unresolved,"oscillation_self_loop,plan_compliance",20,0.025774
django__django-13279,unresolved,"oscillation_self_loop,plan_compliance",8,0.007252,resolved,"oscillation_self_loop,plan_compliance",8,0.007252,unresolved,"oscillation_self_loop,plan_compliance",7,0.007816
django__django-13297,unresolved,"oscillation_self_loop,plan_compliance",11,0.017020,unresolved,"oscillation_self_loop,plan_compliance",11,0.017020,unresolved,"oscillation_self_loop,plan_compliance",9,0.007866
django__django-13315,unresolved,dwell_L_reproduce,40,0.093417,unresolved,dwell_L_reproduce,40,0.093417,unresolved,"oscillation_self_loop,plan_compliance",8,0.009146
django__django-13343,resolved,"oscillation_self_loop,plan_compliance",13,0.010781,unresolved,"oscillation_self_loop,plan_compliance",13,0.010781,unresolved,"oscillation_self_loop,plan_compliance",9,0.009069
django__django-13344,unresolved,"dwell_V,plan_compliance",20,0.033202,unresolved,"dwell_V,plan_compliance",20,0.033202,unresolved,"dwell_V,oscillation_self_loop",20,0.026623
django__django-13346,unresolved,"oscillation_self_loop,plan_compliance",9,0.013399,unresolved,"oscillation_self_loop,plan_compliance",9,0.013399,unresolved,"oscillation_self_loop,plan_compliance",7,0.006673
django__django-13363,resolved,"oscillation_self_loop,plan_compliance",7,0.005999,resolved,"oscillation_self_loop,plan_compliance",7,0.005999,unresolved,"oscillation_self_loop,plan_compliance",7,0.005908
django__django-13401,resolved,"oscillation_self_loop,plan_compliance",7,0.006407,resolved,"oscillation_self_loop,plan_compliance",7,0.006407,resolved,,14,0.014631
django__django-13406,unresolved,dwell_V,56,0.122895,unresolved,dwell_V,56,0.122895,unresolved,"dwell_L_reproduce,dwell_V,plan_compliance",57,0.122746
django__django-13410,resolved,,9,0.005084,resolved,,9,0.005084,resolved,"oscillation_self_loop,plan_compliance",7,0.003551
django__django-13417,resolved,"dwell_V,oscillation_self_loop",20,0.031888,resolved,"dwell_V,oscillation_self_loop",20,0.031888,resolved,"dwell_V,repeated_view",19,0.039249
django__django-13449,unresolved,"oscillation_self_loop,plan_compliance,repeated_view",11,0.020223,resolved,"oscillation_self_loop,plan_compliance,repeated_view",11,0.020223,unresolved,"dwell_L_reproduce,oscillation_self_loop,plan_compliance",25,0.037640
django__django-13512,unresolved,,3,0.000840,resolved,,3,0.000840,unresolved,dwell_L_navigate,29,0.068863
django__django-13513,unresolved,"dwell_L_reproduce,oscillation_self_loop,plan_compliance",20,0.017451,unresolved,"dwell_L_reproduce,oscillation_self_loop,plan_compliance",20,0.017451,unresolved,"dwell_L_reproduce,plan_compliance",12,0.007492
django__django-13516,resolved,,11,0.012380,resolved,,11,0.012380,resolved,"oscillation_self_loop,plan_compliance",7,0.006863
django__django-13551,resolved,"oscillation_self_loop,plan_compliance",7,0.005939,unresolved,"oscillation_self_loop,plan_compliance",7,0.005939,unresolved,"oscillation_self_loop,plan_compliance",8,0.008030
django__django-13568,unresolved,"dwell_V,oscillation_self_loop",26,0.030849,unresolved,"dwell_V,oscillation_self_loop",26,0.030849,unresolved,"oscillation_self_loop,plan_compliance",5,0.003407
django__django-13569,resolved,dwell_L_reproduce,21,0.017991,resolved,dwell_L_reproduce,21,0.017991,unresolved,,11,0.012415
django__django-13590,resolved,"oscillation_self_loop,plan_compliance",7,0.006218,resolved,"oscillation_self_loop,plan_compliance",7,0.006218,unresolved,"oscillation_self_loop,plan_compliance",7,0.006482
django__django-13658,resolved,,18,0.017757,resolved,,18,0.017757,resolved,"oscillation_self_loop,plan_compliance,repeated_view",8,0.006777
django__django-13670,resolved,"oscillation_self_loop,plan_compliance",8,0.008422,resolved,"oscillation_self_loop,plan_compliance",8,0.008422,resolved,"dwell_L_reproduce,oscillation_self_loop",16,0.014536
django__django-13741,resolved,"oscillation_self_loop,plan_compliance",9,0.005871,resolved,"oscillation_self_loop,plan_compliance",9,0.005871,resolved,"oscillation_self_loop,plan_compliance",9,0.006711
django__django-13786,unresolved,"oscillation_self_loop,plan_compliance",6,0.005222,unresolved,"oscillation_self_loop,plan_compliance",6,0.005222,unresolved,"oscillation_self_loop,plan_compliance",13,0.013388
django__django-13794,unresolved,"oscillation_self_loop,plan_compliance",8,0.007546,unresolved,"oscillation_self_loop,plan_compliance",8,0.007546,unresolved,"oscillation_self_loop,plan_compliance",9,0.012780
django__django-13807,unresolved,"oscillation_self_loop,plan_compliance",10,0.006846,unresolved,"oscillation_self_loop,plan_compliance",10,0.006846,unresolved,,11,0.004810
django__django-13809,resolved,"oscillation_self_loop,plan_compliance",8,0.007153,resolved,"oscillation_self_loop,plan_compliance",8,0.007153,resolved,"oscillation_self_loop,plan_compliance",9,0.008534
django__django-13810,resolved,"oscillation_self_loop,plan_compliance",5,0.004344,unresolved,"oscillation_self_loop,plan_compliance",5,0.004344,resolved,"oscillation_self_loop,plan_compliance",6,0.005385
django__django-13820,resolved,"oscillation_self_loop,plan_compliance",7,0.004302,resolved,"oscillation_self_loop,plan_compliance",7,0.004302,resolved,"oscillation_self_loop,plan_compliance",7,0.004023
django__django-13821,resolved,"oscillation_self_loop,plan_compliance",10,0.011153,resolved,"oscillation_self_loop,plan_compliance",10,0.011153,resolved,"oscillation_self_loop,plan_compliance",12,0.016975
django__django-13837,unresolved,"oscillation_self_loop,plan_compliance",19,0.019186,resolved,"oscillation_self_loop,plan_compliance",19,0.019186,resolved,"oscillation_self_loop,plan_compliance",7,0.005922
django__django-13925,unresolved,"oscillation_self_loop,plan_compliance",9,0.010245,resolved,"oscillation_self_loop,plan_compliance",9,0.010245,unresolved,"dwell_L_navigate,oscillation_self_loop,plan_compliance,repeated_view",15,0.030174
django__django-13933,resolved,"oscillation_self_loop,plan_compliance",8,0.009180,resolved,"oscillation_self_loop,plan_compliance",8,0.009180,unresolved,"oscillation_self_loop,plan_compliance",10,0.011282
django__django-13964,unresolved,,0,0.000000,unresolved,,0,0.000000,unresolved,"dwell_V,oscillation_self_loop,repeated_view",45,0.131549
django__django-14007,unresolved,"dwell_L_navigate,dwell_L_reproduce",63,0.198754,resolved,"dwell_L_navigate,dwell_L_reproduce",63,0.198754,unresolved,"dwell_L_navigate,oscillation_self_loop,plan_compliance",19,0.035950
django__django-14011,unresolved,"dwell_L_reproduce,oscillation_self_loop,plan_compliance",12,0.024002,unresolved,"dwell_L_reproduce,oscillation_self_loop,plan_compliance",12,0.024002,unresolved,"oscillation_self_loop,plan_compliance",11,0.018703
django__django-14017,unresolved,"oscillation_self_loop,repeated_view",32,0.057145,unresolved,"oscillation_self_loop,repeated_view",32,0.057145,unresolved,"oscillation_self_loop,plan_compliance",8,0.009504
django__django-14034,unresolved,oscillation_self_loop,17,0.026806,unresolved,oscillation_self_loop,17,0.026806,unresolved,,28,0.057596
django__django-14053,resolved,"oscillation_self_loop,plan_compliance",8,0.007563,unresolved,"oscillation_self_loop,plan_compliance",8,0.007563,resolved,"oscillation_self_loop,plan_compliance",8,0.007535
django__django-14089,resolved,,11,0.011597,resolved,,11,0.011597,resolved,oscillation_self_loop,10,0.010316
django__django-14122,unresolved,"oscillation_self_loop,plan_compliance",7,0.008219,unresolved,"oscillation_self_loop,plan_compliance",7,0.008219,unresolved,"oscillation_self_loop,plan_compliance",7,0.006699
django__django-14140,unresolved,,14,0.013354,unresolved,,14,0.013354,unresolved,,14,0.017337
django__django-14155,unresolved,"oscillation_self_loop,plan_compliance",8,0.005770,unresolved,"oscillation_self_loop,plan_compliance",8,0.005770,unresolved,plan_compliance,16,0.019781
django__django-14170,unresolved,"oscillation_self_loop,plan_compliance",10,0.015225,unresolved,"oscillation_self_loop,plan_compliance",10,0.015225,unresolved,"dwell_V,plan_compliance",28,0.061849
django__django-14238,resolved,"oscillation_self_loop,plan_compliance",8,0.007719,resolved,"oscillation_self_loop,plan_compliance",8,0.007719,unresolved,"oscillation_self_loop,plan_compliance",12,0.025227
django__django-14311,unresolved,plan_compliance,8,0.007958,unresolved,plan_compliance,8,0.007958,unresolved,"oscillation_self_loop,plan_compliance",8,0.009057
django__django-14315,unresolved,"oscillation_self_loop,plan_compliance",6,0.002463,unresolved,"oscillation_self_loop,plan_compliance",6,0.002463,unresolved,"oscillation_self_loop,plan_compliance",7,0.005362
django__django-14349,unresolved,,12,0.016738,resolved,,12,0.016738,resolved,"oscillation_self_loop,plan_compliance",9,0.008744
django__django-14351,unresolved,"dwell_L_navigate,plan_compliance",18,0.030902,unresolved,"dwell_L_navigate,plan_compliance",18,0.030902,unresolved,"dwell_L_navigate,dwell_V,oscillation_self_loop,repeated_view",29,0.105428
django__django-14373,resolved,"oscillation_self_loop,plan_compliance",7,0.006699,resolved,"oscillation_self_loop,plan_compliance",7,0.006699,resolved,,12,0.013110
django__django-14376,unresolved,"oscillation_self_loop,plan_compliance",8,0.005988,unresolved,"oscillation_self_loop,plan_compliance",8,0.005988,unresolved,"oscillation_self_loop,plan_compliance",7,0.004824
django__django-14404,unresolved,"dwell_L_navigate,oscillation_self_loop,plan_compliance",13,0.015328,unresolved,"dwell_L_navigate,oscillation_self_loop,plan_compliance",13,0.015328,unresolved,"oscillation_self_loop,plan_compliance",17,0.025117
django__django-14434,resolved,"oscillation_self_loop,plan_compliance",10,0.012883,unresolved,"oscillation_self_loop,plan_compliance",10,0.012883,unresolved,"dwell_L_navigate,oscillation_self_loop,plan_compliance",17,0.022864
django__django-14493,resolved,,12,0.005893,resolved,,12,0.005893,resolved,"oscillation_self_loop,plan_compliance,repeated_view",10,0.006663
django__django-14500,resolved,"oscillation_self_loop,plan_compliance",9,0.005689,resolved,"oscillation_self_loop,plan_compliance",9,0.005689,unresolved,"oscillation_self_loop,plan_compliance",9,0.007008
