instance_id,run-1_outcome,run-1_patterns,run-1_step,run-1_cost
django__django-11728,unresolved,,5,0.007526
django__django-11734,unresolved,,23,0.135196
django__django-11740,unresolved,"dwell_L_navigate,plan_compliance",21,0.157562
django__django-11749,resolved,,21,0.103522
django__django-11790,unresolved,,16,0.131442
django__django-11815,resolved,,13,0.069656
django__django-11820,unresolved,"oscillation_self_loop,plan_compliance",15,0.065539
django__django-11848,resolved,,23,0.306465
django__django-11880,resolved,,14,0.050610
django__django-11885,unresolved,,27,0.277481
django__django-11951,resolved,,14,0.052136
django__django-11964,unresolved,oscillation_self_loop,15,0.094853
django__django-11999,resolved,,15,0.089210
django__django-12039,unresolved,plan_compliance,13,0.070650
django__django-12050,resolved,,12,0.029555
django__django-12125,resolved,,25,0.197794
django__django-12143,resolved,,11,0.028858
django__django-12155,resolved,,13,0.052931
django__django-12193,unresolved,,17,0.093726
django__django-12209,resolved,,13,0.044639
django__django-12262,unresolved,,14,0.047796
django__django-12273,unresolved,,22,0.172322
django__django-12276,resolved,,12,0.047413
django__django-12304,unresolved,oscillation_self_loop,21,0.114531
django__django-12308,unresolved,,16,0.056009
django__django-12325,unresolved,,15,0.054069
django__django-12406,unresolved,,26,0.162765
django__django-12419,resolved,,16,0.080794
django__django-12663,unresolved,,25,0.165608
django__django-12708,unresolved,,26,0.145966
django__django-12713,resolved,,16,0.061213
django__django-12741,resolved,,14,0.037206
django__django-12754,unresolved,,21,0.138992
django__django-12774,unresolved,,15,0.064008
django__django-12858,unresolved,,15,0.047848
django__django-12965,unresolved,,15,0.086641
django__django-13012,resolved,,32,0.200285
django__django-13023,unresolved,,12,0.030396
django__django-13028,resolved,,20,0.111788
django__django-13033,unresolved,,17,0.127493
django__django-13089,unresolved,,12,0.033955
django__django-13109,resolved,,27,0.114464
django__django-13112,unresolved,oscillation_self_loop,17,0.100126
django__django-13121,unresolved,,11,0.036339
django__django-13128,unresolved,dwell_P,60,0.886471
django__django-13158,resolved,,26,0.226490
django__django-13195,unresolved,oscillation_self_loop,15,0.066282
django__django-13212,unresolved,,17,0.128541
django__django-13279,resolved,,15,0.114183
django__django-13297,unresolved,,19,0.115019
django__django-13315,resolved,,24,0.118567
django__django-13343,unresolved,,12,0.042777
django__django-13344,unresolved,,29,0.234868
django__django-13346,unresolved,plan_compliance,16,0.142529
django__django-13363,resolved,,10,0.040404
django__django-13401,resolved,,19,0.093964
django__django-13406,resolved,plan_compliance,13,0.091147
django__django-13410,resolved,,8,0.018843
django__django-13417,resolved,,14,0.064721
django__django-13449,unresolved,,24,0.184320
django__django-13512,unresolved,"oscillation_self_loop,plan_compliance",13,0.053900
django__django-13513,unresolved,"dwell_L_reproduce,plan_compliance",11,0.033206
django__django-13516,resolved,,12,0.052860
django__django-13551,resolved,"dwell_L_reproduce,plan_compliance",22,0.104354
django__django-13568,unresolved,,14,0.119243
django__django-13569,resolved,,25,0.163727
django__django-13590,unresolved,,10,0.022357
django__django-13658,resolved,,12,0.040859
django__django-13670,resolved,"oscillation_self_loop,plan_compliance",11,0.049669
django__django-13741,resolved,,14,0.043145
django__django-13786,resolved,,8,0.024305
django__django-13794,unresolved,,15,0.049340
django__django-13807,unresolved,,10,0.029927
django__django-13809,unresolved,,17,0.137229
django__django-13810,resolved,,15,0.081205
django__django-13820,resolved,plan_compliance,12,0.039072
django__django-13821,unresolved,,16,0.193669
django__django-13837,resolved,,11,0.039651
django__django-13925,resolved,,13,0.067859
django__django-13933,resolved,,21,0.129259
django__django-13964,unresolved,,30,0.354560
django__django-14007,unresolved,oscillation_self_loop,14,0.055852
django__django-14011,unresolved,plan_compliance,11,0.041834
django__django-14017,resolved,oscillation_self_loop,15,0.085154
django__django-14034,unresolved,,14,0.057669
django__django-14053,resolved,,13,0.064145
django__django-14089,resolved,,13,0.044114
django__django-14122,resolved,,29,0.288302
django__django-14140,unresolved,,9,0.028754
django__django-14155,unresolved,,14,0.069539
django__django-14170,unresolved,,15,0.059691
django__django-14238,resolved,,9,0.024107
django__django-14311,unresolved,,16,0.131131
django__django-14315,unresolved,,9,0.026255
django__django-14349,resolved,,15,0.074072
django__django-14351,unresolved,,24,0.267854
django__django-14373,resolved,,15,0.031357
django__django-14376,unresolved,plan_compliance,12,0.041921
django__django-14404,resolved,,13,0.036724
django__django-14434,unresolved,,5,0.014185
django__django-14493,resolved,oscillation_self_loop,13,0.037555
django__django-14500,resolved,,12,0.054655
django__django-14534,unresolved,,12,0.050261
django__django-14539,resolved,,17,0.077734
django__django-14559,unresolved,,13,0.048842
django__django-14580,resolved,,16,0.089071
django__django-14608,resolved,,17,0.093473
django__django-14631,unresolved,,18,0.094731
django__django-14672,resolved,oscillation_self_loop,11,0.054844
django__django-14725,unresolved,oscillation_self_loop,23,0.222737
django__django-14752,resolved,,11,0.236909
django__django-14765,resolved,,10,0.020310
django__django-14771,resolved,,25,0.190191
django__django-14787,unresolved,,12,0.043210
django__django-14792,unresolved,,11,0.044544
django__django-14855,resolved,,19,0.083851
django__django-14915,resolved,oscillation_self_loop,11,0.030619
django__django-14999,unresolved,oscillation_self_loop,12,0.072011
django__django-15022,unresolved,plan_compliance,18,0.105629
django__django-15037,unresolved,,20,0.204006
django__django-15098,unresolved,,47,0.414102
django__django-15103,resolved,,12,0.041753
django__django-15104,resolved,,11,0.040824
django__django-15127,unresolved,,10,0.024766
django__django-15128,unresolved,plan_compliance,22,0.110349
django__django-15161,unresolved,,16,0.109116
django__django-15252,unresolved,,11,0.087323
django__django-15268,unresolved,,29,0.244186
django__django-15277,resolved,,14,0.045479
django__django-15278,resolved,,13,0.073595
django__django-15280,unresolved,,43,0.421577
django__django-15315,unresolved,,14,0.040902
django__django-15368,resolved,oscillation_self_loop,17,0.074980
django__django-15375,unresolved,,20,0.147523
django__django-15380,resolved,,14,0.073450
django__django-15382,unresolved,,21,0.124016
django__django-15467,resolved,,19,0.077018
django__django-15499,resolved,,11,0.039835
django__django-15503,unresolved,,19,0.102842
django__django-15525,unresolved,oscillation_self_loop,22,0.162792
django__django-15554,unresolved,,17,0.104787
django__django-15561,resolved,,12,0.086440
django__django-15563,unresolved,,28,0.354245
django__django-15569,resolved,,12,0.029219
django__django-15572,unresolved,oscillation_self_loop,19,0.082263
django__django-15629,unresolved,,18,0.130631
django__django-15695,unresolved,,16,0.098189
django__django-15731,resolved,,11,0.031429
django__django-15732,unresolved,,14,0.100434
django__django-15741,resolved,,10,0.032191
django__django-15814,resolved,,11,0.033625
django__django-15851,resolved,,15,0.039168
django__django-15863,resolved,,14,0.045395
django__django-15916,unresolved,,15,0.081477
django__django-15930,unresolved,,33,0.263840
django__django-15957,unresolved,,31,0.276206
django__django-15973,unresolved,plan_compliance,13,0.248118
django__django-15987,resolved,,16,0.110994
django__django-16032,unresolved,,31,0.245820
django__django-16082,resolved,,12,0.066185
django__django-16100,resolved,dwell_L_navigate,18,0.095581
django__django-16116,resolved,,14,0.055920
django__django-16136,resolved,,15,0.066562
django__django-16139,resolved,,22,0.092904
django__django-16145,resolved,,19,0.090143
django__django-16255,resolved,,11,0.030413
django__django-16256,unresolved,,12,0.068345
django__django-16263,unresolved,,20,0.106526
django__django-16315,unresolved,dwell_L_navigate,21,0.119508
django__django-16333,resolved,plan_compliance,19,0.141331
django__django-16429,resolved,oscillation_self_loop,9,0.025630
django__django-16454,unresolved,,14,0.048004
django__django-16485,resolved,,11,0.028054
django__django-16493,resolved,oscillation_self_loop,10,0.030085
django__django-16502,unresolved,,13,0.069700
django__django-16527,resolved,plan_compliance,15,0.042664
django__django-16560,unresolved,,16,0.130866
django__django-16569,resolved,,9,0.021736
django__django-16595,resolved,"oscillation_self_loop,plan_compliance",10,0.033009
django__django-16612,resolved,,17,0.068609
django__django-16631,unresolved,,11,0.049702
django__django-16642,unresolved,oscillation_self_loop,11,0.035691
django__django-16661,unresolved,,18,0.093626
django__django-16662,unresolved,,14,0.064099
django__django-16667,unresolved,,11,0.035302
django__django-16801,resolved,,16,0.109734
django__django-16819,resolved,oscillation_self_loop,17,0.223199
django__django-16877,resolved,"oscillation_self_loop,plan_compliance",14,0.106475
django__django-16899,resolved,,18,0.069741
django__django-16901,resolved,,14,0.125328
django__django-16938,unresolved,plan_compliance,20,0.158797
django__django-16950,unresolved,,15,0.097852
django__django-17029,resolved,,12,0.043306
django__django-17084,resolved,"oscillation_self_loop,plan_compliance",18,0.173534
django__django-17087,resolved,,17,0.096028
django__django-7530,unresolved,"oscillation_max_repeats,oscillation_self_loop,oscillation_two_plus_node",213,2.009357
django__django-9296,resolved,oscillation_self_loop,11,0.029761
matplotlib__matplotlib-13989,resolved,"dwell_V,oscillation_self_loop",26,0.463056
matplotlib__matplotlib-14623,resolved,,28,0.244487
matplotlib__matplotlib-20488,unresolved,,13,0.079969
matplotlib__matplotlib-20676,unresolved,,23,0.209780
matplotlib__matplotlib-20826,resolved,,19,0.185399
matplotlib__matplotlib-20859,resolved,,16,0.069835
matplotlib__matplotlib-21568,unresolved,,25,0.184534
matplotlib__matplotlib-22719,resolved,,13,0.065249
matplotlib__matplotlib-22865,resolved,plan_compliance,12,0.050950
matplotlib__matplotlib-22871,unresolved,plan_compliance,19,0.109762
matplotlib__matplotlib-23299,unresolved,,18,0.094318
matplotlib__matplotlib-23314,resolved,,18,0.091406
matplotlib__matplotlib-23412,unresolved,oscillation_self_loop,33,0.323761
matplotlib__matplotlib-23476,unresolved,plan_compliance,15,0.098524
matplotlib__matplotlib-24026,resolved,"plan_compliance,repeated_view",11,0.047885
matplotlib__matplotlib-24149,resolved,,18,0.079143
matplotlib__matplotlib-24177,unresolved,plan_compliance,16,0.116974
matplotlib__matplotlib-24570,resolved,plan_compliance,14,0.111314
matplotlib__matplotlib-24627,unresolved,plan_compliance,17,0.083903
matplotlib__matplotlib-24637,resolved,dwell_L_navigate,21,0.116061
matplotlib__matplotlib-24870,unresolved,dwell_L_navigate,38,0.527680
matplotlib__matplotlib-24970,resolved,,13,0.051291
matplotlib__matplotlib-25122,resolved,,10,0.021760
matplotlib__matplotlib-25287,resolved,oscillation_self_loop,14,0.084486
matplotlib__matplotlib-25311,resolved,,14,0.062483
matplotlib__matplotlib-25332,unresolved,dwell_L_reproduce,23,0.104328
matplotlib__matplotlib-25479,unresolved,,28,0.328129
matplotlib__matplotlib-25775,resolved,,20,0.253663
matplotlib__matplotlib-25960,unresolved,,31,0.189884
matplotlib__matplotlib-26113,resolved,plan_compliance,11,0.202485
matplotlib__matplotlib-26208,unresolved,,60,0.614641
matplotlib__matplotlib-26291,resolved,,15,0.116859
matplotlib__matplotlib-26342,resolved,,14,0.069549
matplotlib__matplotlib-26466,unresolved,plan_compliance,16,0.115474
mwaskom__seaborn-3069,unresolved,dwell_P,21,0.210181
mwaskom__seaborn-3187,unresolved,dwell_L_reproduce,28,0.142415
pallets__flask-5014,resolved,,11,0.053898
psf__requests-1142,resolved,,24,0.195838
psf__requests-1724,unresolved,"oscillation_self_loop,plan_compliance",11,0.053591
psf__requests-1766,unresolved,oscillation_self_loop,14,0.055723
psf__requests-1921,unresolved,oscillation_self_loop,12,0.088873
psf__requests-2317,unresolved,,17,0.073302
psf__requests-2931,unresolved,,11,0.043485
psf__requests-5414,unresolved,,31,0.145373
psf__requests-6028,unresolved,"dwell_L_reproduce,oscillation_self_loop",34,0.301434
pydata__xarray-2905,resolved,,14,0.042697
pydata__xarray-3095,unresolved,,19,0.177316
pydata__xarray-3151,resolved,,11,0.058237
pydata__xarray-3305,resolved,,22,0.117201
pydata__xarray-3677,resolved,,12,0.033595
pydata__xarray-3993,unresolved,,11,0.032479
pydata__xarray-4075,resolved,,16,0.072786
pydata__xarray-4094,unresolved,oscillation_self_loop,13,0.048289
pydata__xarray-4356,resolved,,15,0.060782
pydata__xarray-4629,resolved,oscillation_self_loop,12,0.029497
pydata__xarray-4687,unresolved,,21,0.179140
pydata__xarray-4695,unresolved,,14,0.057936
pydata__xarray-4966,resolved,,9,0.034964
pydata__xarray-6461,unresolved,plan_compliance,12,0.050873
pydata__xarray-6599,unresolved,,45,1.389328
pydata__xarray-6721,unresolved,,5,0.021371
pydata__xarray-6744,resolved,,14,0.119744
pydata__xarray-6938,unresolved,oscillation_self_loop,17,0.056616
pydata__xarray-6992,unresolved,oscillation_self_loop,8,0.019614
pydata__xarray-7229,unresolved,oscillation_self_loop,21,0.280048
pydata__xarray-7233,resolved,,18,0.112895
pydata__xarray-7393,resolved,dwell_L_navigate,36,0.327462
pylint-dev__pylint-4551,unresolved,,25,0.337867
pylint-dev__pylint-4604,unresolved,,15,0.134876
pylint-dev__pylint-4661,unresolved,,12,0.084513
pylint-dev__pylint-4970,unresolved,,18,0.143822
pylint-dev__pylint-6386,unresolved,,16,0.364035
pylint-dev__pylint-6528,unresolved,,23,0.236425
pylint-dev__pylint-6903,resolved,,11,0.039119
pylint-dev__pylint-7080,unresolved,,14,0.152288
pylint-dev__pylint-7277,resolved,,16,0.470539
pylint-dev__pylint-8898,unresolved,plan_compliance,10,0.047258
pytest-dev__pytest-10051,unresolved,plan_compliance,11,0.040873
pytest-dev__pytest-10081,resolved,,12,0.061040
pytest-dev__pytest-10356,unresolved,,15,0.078355
pytest-dev__pytest-5262,resolved,,15,0.049578
pytest-dev__pytest-5631,resolved,,12,0.037323
pytest-dev__pytest-5787,unresolved,,18,0.149400
pytest-dev__pytest-5809,resolved,oscillation_self_loop,12,0.033433
pytest-dev__pytest-5840,unresolved,,23,0.153016
pytest-dev__pytest-6197,unresolved,oscillation_self_loop,15,0.086975
pytest-dev__pytest-6202,unresolved,,15,0.102817
pytest-dev__pytest-7205,resolved,plan_compliance,11,0.046214
pytest-dev__pytest-7236,resolved,,16,0.089964
pytest-dev__pytest-7324,unresolved,,12,0.054401
pytest-dev__pytest-7432,unresolved,,12,0.050356
pytest-dev__pytest-7490,unresolved,plan_compliance,22,0.185891
pytest-dev__pytest-7521,unresolved,,17,0.153725
pytest-dev__pytest-7571,resolved,,15,0.059133
pytest-dev__pytest-7982,resolved,,14,0.061158
pytest-dev__pytest-8399,resolved,,15,0.069794
scikit-learn__scikit-learn-10297,resolved,oscillation_self_loop,13,0.041632
scikit-learn__scikit-learn-10844,resolved,oscillation_self_loop,9,0.025317
scikit-learn__scikit-learn-10908,resolved,oscillation_self_loop,11,0.056867
scikit-learn__scikit-learn-11310,resolved,plan_compliance,16,0.081583
scikit-learn__scikit-learn-11578,resolved,,10,0.041951
scikit-learn__scikit-learn-12585,resolved,,14,0.234440
scikit-learn__scikit-learn-12682,unresolved,,10,0.046595
scikit-learn__scikit-learn-12973,resolved,,15,0.044032
scikit-learn__scikit-learn-13124,unresolved,plan_compliance,14,0.106186
scikit-learn__scikit-learn-13135,resolved,"oscillation_self_loop,plan_compliance",10,0.033009
scikit-learn__scikit-learn-13142,resolved,,11,0.041843
scikit-learn__scikit-learn-13328,unresolved,"dwell_P,plan_compliance",21,0.124330
scikit-learn__scikit-learn-13439,resolved,,10,0.045947
scikit-learn__scikit-learn-13496,resolved,,17,0.116800
scikit-learn__scikit-learn-13779,unresolved,,18,0.106543
scikit-learn__scikit-learn-14053,resolved,oscillation_self_loop,8,0.024600
scikit-learn__scikit-learn-14087,unresolved,,20,0.092295
scikit-learn__scikit-learn-14141,resolved,oscillation_self_loop,9,0.053797
scikit-learn__scikit-learn-14496,resolved,plan_compliance,11,0.023363
scikit-learn__scikit-learn-14629,unresolved,oscillation_self_loop,14,0.119540
scikit-learn__scikit-learn-14710,resolved,,13,0.054893
scikit-learn__scikit-learn-14894,resolved,,14,0.059044
scikit-learn__scikit-learn-14983,unresolved,,17,0.086355
scikit-learn__scikit-learn-15100,resolved,,14,0.034798
scikit-learn__scikit-learn-25102,resolved,,11,0.072152
scikit-learn__scikit-learn-25232,unresolved,,19,0.141101
scikit-learn__scikit-learn-25747,unresolved,,21,0.177505
scikit-learn__scikit-learn-25931,resolved,,13,0.062029
scikit-learn__scikit-learn-25973,resolved,,18,0.169680
scikit-learn__scikit-learn-26194,unresolved,,12,0.029559
scikit-learn__scikit-learn-26323,unresolved,oscillation_self_loop,18,0.068251
scikit-learn__scikit-learn-9288,resolved,plan_compliance,13,0.079343
sphinx-doc__sphinx-10323,resolved,,14,0.075732
sphinx-doc__sphinx-10435,unresolved,,19,0.110195
sphinx-doc__sphinx-10449,unresolved,,11,0.078169
sphinx-doc__sphinx-10466,resolved,oscillation_self_loop,11,0.062706
sphinx-doc__sphinx-10614,unresolved,,15,0.091389
sphinx-doc__sphinx-10673,unresolved,,29,0.454947
sphinx-doc__sphinx-11445,unresolved,,16,0.089258
sphinx-doc__sphinx-11510,unresolved,,19,0.180879
sphinx-doc__sphinx-7440,unresolved,,25,0.102245
sphinx-doc__sphinx-7454,unresolved,,19,0.152809
sphinx-doc__sphinx-7462,unresolved,,12,0.054033
sphinx-doc__sphinx-7590,unresolved,,33,0.228311
sphinx-doc__sphinx-7748,unresolved,,14,0.062124
sphinx-doc__sphinx-7757,unresolved,dwell_P,30,0.245135
sphinx-doc__sphinx-7889,resolved,,10,0.045524
sphinx-doc__sphinx-7910,unresolved,,14,0.051374
sphinx-doc__sphinx-7985,unresolved,,16,0.099572
sphinx-doc__sphinx-8035,unresolved,,17,0.132389
sphinx-doc__sphinx-8056,unresolved,,23,0.791038
sphinx-doc__sphinx-8120,resolved,,19,0.191132
sphinx-doc__sphinx-8265,unresolved,dwell_L_navigate,22,0.186031
sphinx-doc__sphinx-8269,unresolved,,16,0.099909
sphinx-doc__sphinx-8459,resolved,,25,0.253466
sphinx-doc__sphinx-8475,resolved,,19,0.528067
sphinx-doc__sphinx-8548,unresolved,,22,0.778703
sphinx-doc__sphinx-8551,unresolved,,17,0.158917
sphinx-doc__sphinx-8593,unresolved,,24,0.150023
sphinx-doc__sphinx-8595,unresolved,,18,0.108146
sphinx-doc__sphinx-8621,unresolved,,15,0.078981
sphinx-doc__sphinx-8638,unresolved,,18,0.283214
sphinx-doc__sphinx-8721,resolved,plan_compliance,11,0.080158
sphinx-doc__sphinx-9229,unresolved,,18,0.177000
sphinx-doc__sphinx-9230,unresolved,,18,0.125044
sphinx-doc__sphinx-9258,unresolved,dwell_L_navigate,18,0.147025
sphinx-doc__sphinx-9281,resolved,plan_compliance,15,0.223992
sphinx-doc__sphinx-9320,resolved,,11,0.073475
sphinx-doc__sphinx-9367,resolved,,17,0.072101
sphinx-doc__sphinx-9461,unresolved,,23,0.126746
sphinx-doc__sphinx-9591,unresolved,dwell_L_navigate,18,0.133969
sphinx-doc__sphinx-9602,unresolved,,25,0.249957
sphinx-doc__sphinx-9658,resolved,oscillation_self_loop,20,0.162603
sphinx-doc__sphinx-9673,resolved,,15,0.160182
sphinx-doc__sphinx-9698,resolved,,13,0.058326
sphinx-doc__sphinx-9711,unresolved,,13,0.054559
sympy__sympy-11618,unresolved,oscillation_self_loop,17,0.083094
sympy__sympy-12096,resolved,,11,0.027412
sympy__sympy-12419,unresolved,"dwell_L_reproduce,plan_compliance",41,0.436131
sympy__sympy-12481,resolved,,13,0.053705
sympy__sympy-12489,unresolved,,18,0.101078
sympy__sympy-13031,unresolved,,20,0.125776
sympy__sympy-13091,unresolved,plan_compliance,17,0.077355
sympy__sympy-13372,resolved,oscillation_self_loop,12,0.041654
sympy__sympy-13480,resolved,oscillation_self_loop,9,0.020690
sympy__sympy-13551,unresolved,oscillation_self_loop,23,0.159313
sympy__sympy-13615,unresolved,,21,0.118130
sympy__sympy-13647,resolved,,11,0.050041
sympy__sympy-13757,resolved,,13,0.071382
sympy__sympy-13798,unresolved,plan_compliance,12,0.039095
sympy__sympy-13852,unresolved,,21,0.138457
sympy__sympy-13877,resolved,,9,0.055401
sympy__sympy-13878,unresolved,,24,0.289375
sympy__sympy-13974,unresolved,,15,0.091326
sympy__sympy-14248,unresolved,oscillation_self_loop,29,0.360461
sympy__sympy-14531,unresolved,plan_compliance,22,0.261442
sympy__sympy-14711,resolved,,14,0.179664
sympy__sympy-14976,resolved,,15,0.136652
sympy__sympy-15017,unresolved,oscillation_self_loop,11,0.021399
sympy__sympy-15345,resolved,,15,0.093506
sympy__sympy-15349,resolved,oscillation_self_loop,10,0.028034
sympy__sympy-15599,unresolved,,5,0.010142
sympy__sympy-15809,resolved,,11,0.043124
sympy__sympy-15875,resolved,,14,0.064586
sympy__sympy-15976,unresolved,,21,0.147596
sympy__sympy-16450,resolved,,13,0.051921
sympy__sympy-16597,unresolved,dwell_L_reproduce,30,0.279845
sympy__sympy-16766,resolved,,12,0.042973
sympy__sympy-16792,unresolved,dwell_L_navigate,23,0.155432
sympy__sympy-16886,resolved,,14,0.028949
sympy__sympy-17139,unresolved,plan_compliance,10,0.028643
sympy__sympy-17318,unresolved,,22,0.079096
sympy__sympy-17630,unresolved,,22,0.158983
sympy__sympy-17655,unresolved,,24,0.156610
sympy__sympy-18189,resolved,"oscillation_self_loop,plan_compliance",16,0.072620
sympy__sympy-18199,unresolved,dwell_L_reproduce,20,0.062749
sympy__sympy-18211,unresolved,,14,0.081298
sympy__sympy-18698,unresolved,,24,0.159272
sympy__sympy-18763,unresolved,oscillation_self_loop,22,0.156665
sympy__sympy-19040,unresolved,,22,0.120458
sympy__sympy-19346,resolved,plan_compliance,16,0.037433
sympy__sympy-19495,unresolved,,11,0.043652
sympy__sympy-19637,resolved,,13,0.033055
sympy__sympy-19783,unresolved,,37,0.279668
sympy__sympy-19954,resolved,,15,0.057084
sympy__sympy-20154,unresolved,,18,0.072386
sympy__sympy-20428,unresolved,,21,0.129816
sympy__sympy-20438,unresolved,,19,0.165203
sympy__sympy-20590,unresolved,,15,0.069394
sympy__sympy-20801,unresolved,,19,0.113118
sympy__sympy-20916,unresolved,"dwell_P,dwell_V",45,0.563323
sympy__sympy-21379,unresolved,plan_compliance,25,0.177460
sympy__sympy-21596,unresolved,,31,0.461278
sympy__sympy-21612,unresolved,,22,0.093947
sympy__sympy-21847,resolved,,12,0.055109
sympy__sympy-21930,unresolved,plan_compliance,17,0.085793
sympy__sympy-22080,unresolved,oscillation_self_loop,18,0.083682
sympy__sympy-22456,resolved,,17,0.101686
sympy__sympy-22714,resolved,,21,0.240583
sympy__sympy-22914,resolved,oscillation_self_loop,10,0.031169
sympy__sympy-23262,unresolved,"oscillation_self_loop,repeated_view",39,0.497086
sympy__sympy-23413,unresolved,,17,0.196040
sympy__sympy-23534,unresolved,"oscillation_self_loop,plan_compliance",13,0.052282
sympy__sympy-23824,resolved,,12,0.073069
sympy__sympy-23950,unresolved,plan_compliance,9,0.020496
sympy__sympy-24066,unresolved,,18,0.076447
sympy__sympy-24213,resolved,,15,0.076157
sympy__sympy-24443,unresolved,,39,0.300386
sympy__sympy-24539,resolved,,10,0.020962
sympy__sympy-24562,unresolved,,49,0.367405
sympy__sympy-24661,resolved,,17,0.210404
